Region;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01
Region Blekinge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
Region Dalarna;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;5;8;9;9;10;10;11;11;11
Region Gotland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Gävleborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;4;5;5;5;7;9;9;10
Region Halland;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;4;5;6;7;8;8;8;8
Region Jämtland Härjedalen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
Region Jönköping;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;5;6;8;9;9;10;11;11;11
Region Kalmar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2
Region Kronoberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Norrbotten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;6;10;10;12;14;14;15;16;18;18
Region Skåne;0;0;0;0;1;1;1;1;3;4;5;5;5;6;9;9;9;11;11;11;12;16;19;19;19;23;24
Region Stockholm;2;2;4;4;4;4;4;6;9;14;17;19;27;32;43;47;56;80;95;113;129;141;158;172;192;208;213
Region Sörmland;0;0;0;0;0;0;1;1;1;2;2;2;2;2;5;9;12;14;20;22;24;26;29;34;37;41;42
Region Uppsala;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;3;5;6;9;10;10;10;12;15;16;16
Region Värmland;0;0;0;0;1;1;1;1;1;1;1;2;2;2;2;2;3;4;4;4;4;4;4;4;4;4;4
Region Västerbotten;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;4;5;5;5;5;5;5
Region Västernorrland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;3;3;4;4;4;5
Region Västmanland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;7;9;11;11;11;12
Region Örebro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;4;7;8;8;8;11;11;11;12
Region Östergötland;0;0;0;0;0;0;0;0;0;0;1;1;2;3;4;5;8;11;14;19;21;23;25;28;28;29;29
Västra Götalandsregionen;0;1;1;1;1;1;1;1;1;1;2;3;6;11;14;18;21;26;30;33;40;44;49;60;65;70;70
Hela riket;2;3;5;5;7;7;8;11;17;24;30;34;49;62;86;103;130;175;218;259;300;332;367;413;449;483;494
